iata,icao,name,city,country,timezone,utc_offset_hours,dst,openflights_id
SZS,NZRC,Ryan's Creek Aerodrome,Stewart Island,New Zealand,Pacific/Auckland,12,U,7517
SZT,MMSC,San Cristobal de las Casas Airport,San Cristobal de las Casas,Mexico,America/Mexico_City,-6,N,10135
SZV,ZSSZ,Suzhou Guangfu Airport,Suzhou,China,Asia/Shanghai,8,N,9857
SZW,EDOP,Schwerin Parchim Airport,Parchim,Germany,Europe/Berlin,1,E,383
SZX,ZGSZ,Shenzhen Bao'an International Airport,Shenzhen,China,Asia/Shanghai,8,U,3374
SZZ,EPSC,"Szczecin-Goleniów ""Solidarność"" Airport",Szczecin,Poland,Europe/Warsaw,1,E,676
TAB,TTCP,Tobago-Crown Point Airport,Scarborough,Trinidad and Tobago,America/Port_of_Spain,-4,U,2901
TAC,RPVA,Daniel Z. Romualdez Airport,Tacloban,Philippines,Asia/Manila,8,N,2422
TAE,RKTN,Daegu Airport,Taegu,South Korea,Asia/Seoul,9,U,2381
TAF,DAOL,Tafaraoui Airport,Oran,Algeria,Africa/Algiers,1,N,229
TAG,RPVT,Tagbilaran Airport,Tagbilaran,Philippines,Asia/Manila,8,N,3994
TAH,NVVW,Tanna Airport,Tanna,Vanuatu,Pacific/Efate,11,U,4242
TAI,OYTZ,Ta'izz International Airport,Taiz,Yemen,Asia/Aden,3,U,3975
TAK,RJOT,Takamatsu Airport,Takamatsu,Japan,Asia/Tokyo,9,U,2337
TAM,MMTM,General Francisco Javier Mina International Airport,Tampico,Mexico,America/Mexico_City,-6,S,1848
TAO,ZSQD,Liuting Airport,Qingdao,China,Asia/Shanghai,8,U,3390
TAP,MMTP,Tapachula International Airport,Tapachula,Mexico,America/Mexico_City,-6,S,1851
TAR,LIBG,"Taranto-Grottaglie ""Marcello Arlotta"" Airport",Grottaglie,Italy,Europe/Rome,1,E,1503
TAS,UTTT,Tashkent International Airport,Tashkent,Uzbekistan,Asia/Samarkand,5,U,2983
